ID1,ID2,Dist,Ch1,M1,Ch2,M2
ICC180,N1P01,0,ICC180,0,N1,1
ICC180,N1P02,0,ICC180,0,N1,2
N1P01,N1P02,0,N1,1,N1,2
ICC180,N1P03,0,ICC180,0,N1,3
N1P01,N1P03,0,N1,1,N1,3
N1P02,N1P03,0,N1,2,N1,3
ICC180,N1P04,0,ICC180,0,N1,4
N1P01,N1P04,0,N1,1,N1,4
N1P02,N1P04,0,N1,2,N1,4
N1P03,N1P04,0,N1,3,N1,4
ICC180,N1P05,0,ICC180,0,N1,5
N1P01,N1P05,0,N1,1,N1,5
N1P02,N1P05,0,N1,2,N1,5
N1P03,N1P05,0,N1,3,N1,5
N1P04,N1P05,0,N1,4,N1,5
ICC180,N1P06,0,ICC180,0,N1,6
N1P01,N1P06,0,N1,1,N1,6
N1P02,N1P06,0,N1,2,N1,6
N1P03,N1P06,0,N1,3,N1,6
N1P04,N1P06,0,N1,4,N1,6
N1P05,N1P06,0,N1,5,N1,6
ICC180,N1P07,0,ICC180,0,N1,7
N1P01,N1P07,0,N1,1,N1,7
N1P02,N1P07,0,N1,2,N1,7
N1P03,N1P07,0,N1,3,N1,7
N1P04,N1P07,0,N1,4,N1,7
N1P05,N1P07,0,N1,5,N1,7
N1P06,N1P07,0,N1,6,N1,7
ICC180,N1P08,0,ICC180,0,N1,8
N1P01,N1P08,0,N1,1,N1,8
N1P02,N1P08,0,N1,2,N1,8
N1P03,N1P08,0,N1,3,N1,8
N1P04,N1P08,0,N1,4,N1,8
N1P05,N1P08,0,N1,5,N1,8
N1P06,N1P08,0,N1,6,N1,8
N1P07,N1P08,0,N1,7,N1,8
ICC180,N1P09,0,ICC180,0,N1,9
N1P01,N1P09,0,N1,1,N1,9
N1P02,N1P09,0,N1,2,N1,9
N1P03,N1P09,0,N1,3,N1,9
N1P04,N1P09,0,N1,4,N1,9
N1P05,N1P09,0,N1,5,N1,9
N1P06,N1P09,0,N1,6,N1,9
N1P07,N1P09,0,N1,7,N1,9
N1P08,N1P09,0,N1,8,N1,9
ICC180,N1P10,0,ICC180,0,N1,10
N1P01,N1P10,0,N1,1,N1,10
N1P02,N1P10,0,N1,2,N1,10
N1P03,N1P10,0,N1,3,N1,10
N1P04,N1P10,0,N1,4,N1,10
N1P05,N1P10,0,N1,5,N1,10
